GS Paper,Title,Content
GS1,Bonai State,"Bonai State (Odia: ବଣାଇ) was a minor princely state during the British Raj in what is today India. It was one of the Chota Nagpur States and had its capital at Bonaigarh, located in the present-day Sundergarh district of Odisha. It had an area of 8,907 square kilometres (3,439 sq mi), a population of 24,026 in 1892 and an average annual revenue of Rs. 60,000 in 1901.

History
Origins of the Kadamba dynasty of Bonai
As per legend, the founders of the dynasty claimed numerous obscure origins but lack of written archival records dispute them as untenable due to the mythical legends which shrouds the ancestry of the founding clans. Most research into the origins of the dynasty points that the founders of the Bonai State belonged to the head of the Bhuyan clans of the region which was later acquired mythical characteristics.
The founding of the Bonai State led to the establishment of the Kadamba dynasty, named after the flowers of the Kadamba tree (Neolamarckia cadamba) which is also present in the founding legendary myths of the dynasty and also remains the symbol of one of its collateral branch of Athmallik State. The Kadamba tree also plays a central element in the legends of the dominant Bhuyan clans of the region demonstrating the close relationship that the clans play in the royal traditions and rituals of the dynasty. Reconstruction of the court records points that the founder of the dynasty Pratap Bhanu Deo founded the State with the help of local Bhuyan landlords and subjugated the region. The local Bhuyan landlords maintained a strong presence at the royal court, administrative levels and socio-religious traditions of the kingdom.

Modern period
On 1 January 1948 the last ruler of Bonai signed the certificate of accession to the Indian Union after independence and following which it merged with the state of Odisha,Western Odisha, forming a part of the Sundergarh district.Bonai region is mostly habitats by Sambalpuri spiking people.

Rulers
The rulers of the Bon"
GS1,Daroga,"Darogas (also spelled darogha or daroghah) were police officials in the Mughal Empire and the British Raj. In the Mughal Empire, a daroga was superintendent of the ""slaves"" of a Mughal monarch.

Caste and duties
Lindsey Harlan identified the darogas with the Ravana Rajputs.
Ramya Sreenivasan stated that the male children born from ""the illegitimate union of Rajputs and their inferiors"" were referred to as daroga and gola, while the female children born from such union were referred to as darogi and goli.

Duties
The darogas served in the armies of Kachhwahas and Mughals; and in accordance with the duties performed by them, the darogas were given various titles like daroga-i-sutarkhana, daroga-i-topkhana, and daroga-i-baroodkhana.
Daroghas answered to district magistrates who were in charge of areas at least 100 square miles (26,000 ha; 64,000 acres); because the magistrates were responsible for such a large area, the daroghas were normally the most powerful local authorities. In some cases, they were in charge of factories. The darogas also had command over the police in rural areas.

Female daroga
The women assigned to the administration of the imperial zenana were also given the title of darogha. The position was appointed by the emperor himself, and marked a great honor for the woman and her family. Consequently, the women given these posts were chosen because they were well brought up, educated and from respectable families. Asmat Banu Begam, the mother of Empress Nur Jahan, had at one time acted in this role. Female daroghas were tasked with maintaining court etiquette and keeping the peace within the zenana.


== References =="
GS1,João Cabral,"João Cabral, SJ (1599 – ?) was a Portuguese Jesuit missionary, who, along with Estêvão Cacella, were the first Europeans to enter Bhutan in 1627. The following year he became the first European to visit neighboring Nepal and the Sikkim region of India.
Cabral was born in Celorico da Beira, Portugal, in 1599. In 1615 he joined the Society of Jesus, and on September 5, 1626 he left for the Tibetan planes in the hopes of finding the mythic Kingdom of Shambala and spreading the Christian faith. After pushing through with both his plans, he returned to India and continued his missionary career in Malaka, Macau and Japan.


== References =="
GS1,Ibn Khordadbeh,"Abu'l-Qasim Ubaydallah ibn Abdallah ibn Khordadbeh (Arabic: ابوالقاسم عبیدالله ابن خرداذبه; 820/825–913), commonly known as Ibn Khordadbeh (also spelled Ibn Khurradadhbih; ابن خرددة), was a high-ranking bureaucrat and geographer of Persian descent in the Abbasid Caliphate. He is the author of the earliest surviving Arabic book of administrative geography.

Biography
Ibn Khordadbeh was the son of Abdallah ibn Khordadbeh, who had governed the northern Iranian region of Tabaristan under the Abbasid caliph al-Mamun (r. 813–833), and in 816/17 conquered the neighbouring region of Daylam, as well as repelled the Bavandid ispahbadh (ruler) Shahriyar I (r. 817–825) from the highlands of Tabaristan. Ibn Khordadbeh's grandfather was Khordadbeh, a former Zoroastrian who was convinced by the Barmakids to convert to Islam. He may have been the same person as Khordadbeh al-Razi, who had provided Abu'l-Hasan al-Mada'ini (died 843) the details regarding the flight of the last Sasanian emperor Yazdegerd III during the Arab conquest of Iran. Ibn Khordadbeh was born in 820 or 825 in the eastern province of Khurasan, but grew up in the city of Baghdad. There he received a cultivated education, and studied music with the prominent singer Ishaq al-Mawsili, a friend of his father. When Ibn Khordadbeh became of age, he was appointed as the caliphal postal and intelligence service in the central province of Jibal, and eventually in Samarra and Baghdad.

Around 870 ibn Khordadbeh wrote Kitāb al Masālik w’al Mamālik (The Book of Roads and Kingdoms) (with the second edition of the book being published in 885).  In this work, ibn Khordadbeh described the various peoples and provinces of the Abbasid Caliphate. Along with maps, the book also includes descriptions of the land, people and culture of the Southern Asiatic coast as far as Brahamputra, the Andaman Islands, peninsular Malaysia and Java.: 108  The lands of Tang China, Unified Silla (Korea) and Japan are referenced within his work. He was"
GS1,1879 in India,"Events in the year 1879 in India.

Incumbents
Empress of India – Queen Victoria
Viceroy of India – Robert Bulwer-Lytton, 1st Earl of Lytton

Events
National income - ₹4,083 million
The Bombay Dyeing & Mfg. Co. Ltd., a textile company, established

Law
Elephants' Preservation Act
Legal Practitioners Act
Registration Of Births, Deaths and Marriages (Army) Act (British statute)
Indian Guaranteed Railways Act (British statute)
East Indian Railway (Redemption of Annuities) Act (British statute)
East India Loan Act (British statute)

Births
K. N. Sivaraja Pillai (1879–1941) Indian historian, dravidologist and professor (d. 1941).
Sarojini Naidu (1879-1949) Indian political activist and poet
Periyar E.V. Ramasamy (1879-1973) Indian social activist and politician


== References =="
GS1,Durbar (court),"Durbar is a Persian-derived term (from Persian: دربار, romanized: darbār) referring to the noble court of a king or ruler or a formal meeting where the king held all discussions regarding the state. It was used in South Asia for a ruler's court or feudal levy. A durbar may be either a feudal state council for administering the affairs of a princely state, or a purely ceremonial gathering, as was increasingly the case during British rule in India.
The most famous durbars belonged to powerful emperors and kings. In the north of India, cities like Baroda, Gwalior, Udaipur, Jaipur, Jodhpur, Jaisalmer, Agra, and the city of Lahore in Pakistan have palaces and forts that adorn such halls. The Mughal emperor Akbar had two halls—one for his ministers, and the other for the general public. Usually, durbar halls are lavishly decorated with the best possible materials available at the time.
In the south of India, the Mysore Palace had a number of such halls, especially the Peacock Hall, having colour tinted glasses imported from Belgium, which were used for marriage ceremonies. The Durbar Hall in the Khilawat Mubarak, in the city of Hyderabad, Telangana, was the Durbar Hall of the Nizams of Hyderabad.
Beneath the main dome of the Rashtrapati Bhavan is the Grand Durbar Hall. As the building now serves as the presidential palace, many state functions are currently carried out there, presided upon by the President of India. The name of Durbar Hall was changed to Gantantra Mandap by Government of India w.e.f. 25.07.2014.

State Council
In the former sense, the native rulers of the Indian subcontinent such as the Marathas and Rajputs, other Hindu or Muslim monarchies, like the Mughals and emirs of Afghanistan, and even Western colonial rulers received visitors in audience, conferred honours, and conducted business in durbar.
A durbar could also be the executive council of a native state. Its membership was dual: the court's grandees, such as the vizier and major jagirdars (feudal l"
GS1,Diocese of North East India,"The Diocese of North East India is a diocese of the Church of North India, centred in Shillong, North-East India.
The Diocese of Assam, of the (Anglican) Church of India, Burma and Ceylon, was created from the Diocese of Calcutta in 1915. In 1970, it became a diocese of the united Church of North India; and had its current name by 1986.

Bishops of Assam
The Church of India, Burma and Ceylon diocese had three bishops prior to Indian independence:

1915–1924: Herbert Pakenham-Walsh (1871–1959)
1924–1945: George Hubback (1882–1955)
1946–1948: Nirod Biswas
and three after:

1949–1962: Joseph Amritanand
1963–1967: Eric Samuel Nasir
1968–1970: Ariel Victor Jonathan

Bishops of North East India
1970–1986: D. D. Pradhan, Bishop of Assam
1986–1998: Ernest William Talibuddin
1999 – aft. 2015: Purely Lyngdoh
c. 2017 – present: Michael Herenz


== References =="
GS1,Hemanta Sena,"Hemanta Sena (Sanskrit: Hemantasena), the founder of the Hindu Sena dynasty in the Bengal region of the Indian subcontinent.

Biography
Hemanta was born to a Hindu Vaishnavite family, and was the son of Samanta Sena; who settled in the Rarh region. Their family belonged to the  Kshatriya caste. 
The weakening of the Pala Empire allowed Hemanta to be granted the opportunity to govern Rarh and protect the emperors. He served this role from 1070 to 1096 CE.  His son, Vijaya Sena, reigned after him.

See also
List of rulers of Bengal
History of Bengal
History of India


== References =="
GS1,Dineshchandra Sircar,"Dineshchandra Sircar (1907–1985), also known as D. C. Sircar or  D. C. Sarkar, was an epigraphist, historian, numismatist and folklorist, known particularly in India and Bangladesh for his work deciphering inscriptions. He was the Chief Epigraphist of the Archaeological Survey of India (1949–1962), Carmichael Professor of Ancient Indian History and Culture at the University of Calcutta (1962–1972) and the General President of the Indian History Congress. In 1972, Sircar was awarded the Sir William Jones Memorial Plaque.

Early life and education
Sircar was born in Krishnanagar  in 1907, which is in present day West Bengal (India).

Selected bibliography
He authored more than forty books both in Bengali and English. Some of his best known books include:

Pala-purva Yuger Vamsanucarita (""Genealogy of Pre-Pala Age"" in Bengali)
Pala-Sena Yuger Vamsanucarita (""Genealogy of Pala-Sena Age"" in Bengali)
Asoker Vani (""Sermons of Ashoka"" in Bengali)
Silalekha-Tamrasasanadir Prasanga (""On Stone and Copperplate Inscriptions"" in Bengali)
Prachin Itihaser Kahini  (""Story of Ancient History"" in Bengali)
Sanskritik Itihaser Prasanga (""On Cultural History"", two volumes in Bengali)
Select Inscriptions Bearing on Indian History and Civilisation (two volumes)
Indian Epigraphy (1965)
Indian Epigraphical Glossary
Inscriptions of Asoka,
Epigraphical Discoveries in East Pakistan
Studies in the Geography of Ancient and Medieval India
Some Epigraphical Records of the Mediaeval Period from Eastern India
Studies in Indian Coins
Journal of Ancient Indian History Ed.
The Early Pallavas (1935)
The Successors of the Satvahana in Lower Deccan (1939)
Successors of the Satvahana in  the eastern Deccan (1935)
Social Life in Ancient India (1971)

He edited Epigraphia Indica volumes XXVIII to XXXVI,  three of them jointly and the others independently.

References
Further reading
Maity, Sachindra Kumar; Thakur, Upendra; Sircar, D.C. (1987). Indological Studies: Prof. D.C. Sircar Commemoration Volume. Abhi"
GS1,Ṛta Kapur Chishti,"Ṛta Kapur Chishti is a sari historian and a textile scholar. She is the co-author and editor of two books namely ‘Saris: Tradition and Beyond’ and 'Handcrafted Indian Textiles: Tradition and Beyond'. Saris of India: Tradition and Beyond, published in 2010 and co-authored by Martand Singh, enumerates a hundred and eight variations of draping the Sari. The book is a comprehensive compendium of different Sari weaving and wearing traditions in India, covering 15 states of India and countless variations of colour, weave and pattern from each state, besides documenting 108 methods of draping a Sari.
In 2009, Ṛta Kapur initiated the ‘Sari School’ in New Delhi. The school conducts workshops for young locals, expatriate women, fashion designers and anyone who would like to learn different ways to wearing the sari. The Sari School also teaches individuals the history and various methods of tying the Sari.
In 2011, Ṛta Kapur founded TaanBaan to preserve and enhance the handspun handwoven techniques. TaanBaan works with artisans across different states and creates saris that strike a balance between traditional skill and contemporary appeal.
In 2017, Rta Kapur was advisor for the non-profit initiative 'The Sari Series: An Anthology of Drape' created by Border&Fall. The Sari Series is a digital anthology documenting India's regional drapes through short films.

Personal life
Ṛta Kapur Chishti conducted her undergraduate studies in Political Science from Lady Shri Ram College. She then studied at the School of Drama. She then pursued a degree in education from Delhi University in 1971.

References
External links
TedxDelhi - Ṛta Kapur Chishti - Sarees of India
The India Magazine of her people & Culture
The Grace of Four Moons
Tissus Indiens
New Woman, April 2016
DK Eyewitness Travel Guide India
111 Places in New Delhi you must not miss"
